Time,SN
1.878151998769230659e+03,1.365877438787492260e+01
1.878154776523076862e+03,1.322461169333043429e+01
1.878157554276923065e+03,1.405492821656152280e+01
1.878160332030769268e+03,9.407922784378918379e+00
1.878163109784615244e+03,5.100293444809491206e+00
1.878165887538461448e+03,1.141317805646928818e+01
1.878168665292307651e+03,1.132927989967596716e+01
1.878171443046153854e+03,2.142049229706483615e+01
1.878174220800000057e+03,1.949375131515783721e+01
1.878176998553846261e+03,1.389310454101711123e+01
1.878179776307692237e+03,1.141687639096814522e+01
1.878182554061538440e+03,1.836199696026946881e+01
1.878185331815384643e+03,2.151970710290547473e+01
1.878188109569230846e+03,8.128890410994795701e+00
1.878190887323076822e+03,1.710563804348237937e+01
1.878193665076923025e+03,5.606433802560527369e+00
1.878196442830769229e+03,1.758169856843022671e+01
1.878199220584615432e+03,1.059412783973799321e+01
1.878201998338461635e+03,1.192687459451974874e+01
1.878204776092307611e+03,1.732548747319902560e+01
1.878207553846153814e+03,1.269918145517992514e+01
1.878210331600000018e+03,1.095737204898953010e+01
1.878213109353846221e+03,8.267459626132627193e+00
1.878215887107692197e+03,1.146232817658958680e+01
1.878218664861538400e+03,2.183834634636561844e+01
1.878221442615384603e+03,1.714338794639997232e+01
1.878224220369230807e+03,1.563824802155616567e+01
1.878226998123077010e+03,1.472751942132450864e+00
1.878229775876922986e+03,1.597306162575451793e+01
1.878232553630769189e+03,1.266754832468568637e+01
1.878235331384615392e+03,3.502040620366545731e+00
1.878238109138461596e+03,7.140803070004883679e+00
1.878240886892307572e+03,7.557845823213675374e+00
1.878243664646153775e+03,1.315980073513494375e+01
1.878246442399999978e+03,7.029278015430374893e+00
1.878249220153846181e+03,0.000000000000000000e+00
1.878251997907692385e+03,1.270904458178070229e+01
1.878254775661538361e+03,1.784636201224741647e+00
1.878257553415384564e+03,9.805227088609957065e+00
1.878260331169230767e+03,1.191820862419862515e+01
1.878263108923076970e+03,7.730794197735588291e+00
1.878265886676922946e+03,5.001557319859425199e+00
1.878268664430769149e+03,2.575312075977003179e-01
1.878271442184615353e+03,0.000000000000000000e+00
1.878274219938461556e+03,0.000000000000000000e+00
1.878276997692307759e+03,6.505642081558483447e+00
1.878279775446153735e+03,0.000000000000000000e+00
1.878282553199999938e+03,5.928062708703932593e+00
1.878285330953846142e+03,1.360182918333270097e+00
1.878288108707692345e+03,0.000000000000000000e+00
1.878290886461538321e+03,1.347194013311955874e-01
1.878293664215384524e+03,2.075484549610263407e+00
1.878296441969230727e+03,0.000000000000000000e+00
1.878299219723076931e+03,0.000000000000000000e+00
1.878301997476923134e+03,0.000000000000000000e+00
1.878304775230769337e+03,2.479009062577373079e+00
1.878307552984615313e+03,0.000000000000000000e+00
1.878310330738461516e+03,0.000000000000000000e+00
1.878313108492307720e+03,1.534138588790505686e+00
1.878315886246153923e+03,5.224042658648204274e+00
1.878318663999999899e+03,0.000000000000000000e+00
1.878321441753846102e+03,0.000000000000000000e+00
1.878324219507692305e+03,5.659973847033900718e+00
1.878326997261538509e+03,4.930955179953530276e+00
1.878329775015384712e+03,1.096210518170006765e+01
1.878332552769230688e+03,1.509589164799062022e+00
1.878335330523076891e+03,8.206699367745535767e+00
1.878338108276923094e+03,8.184192260901168581e+00
1.878340886030769298e+03,7.300420474513833469e+00
1.878343663784615273e+03,5.693544659620410897e+00
1.878346441538461477e+03,4.503885635955816369e+00
1.878349219292307680e+03,2.877566981159028536e+00
1.878351997046153883e+03,5.601969802502768658e+00
1.878354774800000087e+03,1.306111457030701573e+01
